co2TailpipeGpm,cylinders,displ,drive,fuelType,make,phevBlended,transmission,VClass
493.722222222,8,4,Rear-Wheel Drive,Premium,Lexus,False,Aut,Midsize Cars
467.736842105,6,3.8,Rear-Wheel Drive,Regular,Mercury,False,Aut,Midsize Cars
493.722222222,8,5,Rear-Wheel Drive,Regular,Mercury,False,Aut,Midsize Cars
423.190476190,6,3,Front-Wheel Drive,Regular,Mercury,False,Aut,Midsize Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Mercury,False,Aut,Midsize Cars
386.391304348,4,2,Front-Wheel Drive,Regular,Mazda,False,Aut,Midsize Cars
341.807692308,4,2,Front-Wheel Drive,Regular,Mazda,False,Man,Midsize Cars
467.736842105,6,2.5,Front-Wheel Drive,Premium,Mazda,False,Aut,Midsize Cars
444.35,6,2.5,Front-Wheel Drive,Premium,Mazda,False,Man,Midsize Cars
467.736842105,6,3,Rear-Wheel Drive,Premium,Mazda,False,Aut,Midsize Cars
888.7,8,5.9,Rear-Wheel Drive,Regular,Dodge,False,Aut,Vans
386.391304348,4,2.2,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize Cars
467.736842105,6,3.3,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize Cars
423.190476190,6,3.3,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize Cars
444.35,6,3.1,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize Cars
444.35,6,3.1,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize Cars
493.722222222,6,3.4,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize Cars
493.722222222,6,3.4,Front-Wheel Drive,Regular,Oldsmobile,False,Man,Midsize Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Oldsmobile,False,Aut,Midsize Cars
423.190476190,4,2.5,Front-Wheel Drive,Regular,Plymouth,False,Aut,Midsize Cars
386.391304348,4,2.5,Front-Wheel Drive,Regular,Plymouth,False,Aut,Midsize Cars
683.615384615,6,4.9,Rear-Wheel Drive,Regular,Ford,False,Aut,Vans
355.48,4,2.5,Front-Wheel Drive,Regular,Plymouth,False,Man,Midsize Cars
444.35,6,3,Front-Wheel Drive,Regular,Plymouth,False,Aut,Midsize Cars
423.190476190,6,3,Front-Wheel Drive,Regular,Plymouth,False,Aut,Midsize Cars
444.35,6,3.1,Front-Wheel Drive,Regular,Pontiac,False,Aut,Midsize Cars
444.35,6,3.1,Front-Wheel Drive,Regular,Pontiac,False,Aut,Midsize Cars
493.722222222,6,3.4,Front-Wheel Drive,Regular,Pontiac,False,Aut,Midsize Cars
493.722222222,6,3.4,Front-Wheel Drive,Regular,Pontiac,False,Man,Midsize Cars
807.909090909,8,6.8,Rear-Wheel Drive,Premium,Rolls-Royce,False,Aut,Midsize Cars
807.909090909,8,6.8,Rear-Wheel Drive,Premium,Rolls-Royce,False,Aut,Midsize Cars
807.909090909,8,6.8,Rear-Wheel Drive,Premium,Rolls-Royce,False,Aut,Midsize Cars
634.785714286,6,4.9,Rear-Wheel Drive,Regular,Ford,False,Aut,Vans
423.190476190,4,2.2,Front-Wheel Drive,Regular,Toyota,False,Aut,Midsize Cars
403.954545455,4,2.2,Front-Wheel Drive,Regular,Toyota,False,Man,Midsize Cars
467.736842105,6,3,Front-Wheel Drive,Regular,Toyota,False,Aut,Midsize Cars
493.722222222,6,3,Front-Wheel Drive,Regular,Toyota,False,Man,Midsize Cars
423.190476190,4,2,Front-Wheel Drive,Regular,Volkswagen,False,Aut,Midsize Cars
403.954545455,4,2,Front-Wheel Drive,Regular,Volkswagen,False,Man,Midsize Cars
493.722222222,6,2.8,Front-Wheel Drive,Regular,Volkswagen,False,Aut,Midsize Cars
444.35,6,2.8,Front-Wheel Drive,Regular,Volkswagen,False,Man,Midsize Cars
423.190476190,5,2.4,Front-Wheel Drive,Regular,Volvo,False,Aut,Midsize Cars
423.190476190,5,2.4,Front-Wheel Drive,Regular,Volvo,False,Man,Midsize Cars
423.190476190,4,2.2,Front-Wheel Drive,Premium,Dodge,False,Man,Subcompact Cars
555.4375,6,4.9,Rear-Wheel Drive,Regular,Ford,False,Man,Vans
467.736842105,4,2.3,Rear-Wheel Drive,Regular,Volvo,False,Aut,Midsize Cars
444.35,4,2.3,Rear-Wheel Drive,Regular,Volvo,False,Aut,Midsize Cars
493.722222222,6,2.9,Rear-Wheel Drive,Regular,Volvo,False,Aut,Midsize Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Buick,False,Aut,Large Cars
493.722222222,6,3.8,Front-Wheel Drive,Premium,Buick,False,Aut,Large Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Buick,False,Aut,Large Cars
522.764705882,8,5.7,Rear-Wheel Drive,Regular,Buick,False,Aut,Large Cars
